_neo4jInternalId,assId,concept_id,database_type,displayLabel,exam_type,grade_id,paper_name,question_ids,standard_id,sub_institute_id,subject_id,syear,total_marks,total_ques
619,5673,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
621,5674,,,"Assessment:PAL Test",pal,11,"PAL Test","149753,149754,149752,149755",40,1,3975,,4,4
623,5675,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
627,5677,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
629,5678,,,"Assessment:PAL Test",pal,11,"PAL Test","149755,149753,149754,149752",40,1,3975,,4,4
631,5679,,,"Assessment:PAL Test",pal,11,"PAL Test","149752,149755,149754,149753",40,1,3975,,4,4
635,5682,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
637,5683,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
639,5684,,,"Assessment:PAL Test",pal,11,"PAL Test","149800,149799,149754,149753,149752,149755",40,1,3975,,6,6
641,5685,,,"Assessment:PAL Test",pal,11,"PAL Test","149799,149800",40,1,3975,,2,2
643,5686,,,"Assessment:PAL Test",pal,11,"PAL Test","149799,149800",40,1,3975,,2,2
645,5687,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
647,5688,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
669,5691,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
671,5692,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
673,5693,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
675,5694,,,"Assessment:PAL Test",pal,11,"PAL Test","149819,149820,149811,149815,149813,149814,149818,149817,149816,149812",40,1,3975,,10,10
677,5695,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
679,5696,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
681,5697,,,"Assessment:PAL Test",pal,11,"PAL Test","149819,149817,149818,149815,149813,149816,149814,149812,149820,149811",40,1,3975,,10,10
683,5698,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
685,5699,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
687,5700,,,"Assessment:PAL Test",pal,11,"PAL Test","149820,149817,149818,149815,149816,149819,149813,149812,149814,149811",40,1,3975,,10,10
689,5701,,,"Assessment:PAL Test",pal,11,"PAL Test","149820,149818,149814,149816,149815,149813,149819,149812,149817,149811",40,1,3975,,10,10
691,5702,,,"Assessment:PAL Test",pal,0,"PAL Test","149759,149758",40,1,3975,,2,2
693,5703,,,"Assessment:PAL Test",pal,0,"PAL Test","149759,149758",40,1,3975,,2,2
695,5704,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
697,5705,,,"Assessment:PAL Test",pal,11,"PAL Test","149812,149818,149819,149817,149813,149820,149814,149816,149815,149811",40,1,3975,,10,10
699,5706,,,"Assessment:PAL Test",pal,11,"PAL Test","149759,149758",40,1,3975,,2,2
701,5707,,,"Assessment:PAL Test",pal,11,"PAL Test","149758,149759",40,1,3975,,2,2
703,5708,,,Assessment:,pal,0,,,0,0,0,,0,0
705,5709,,,Assessment:,pal,0,,,0,1,0,,0,0
707,5710,,,Assessment:test,pal,0,test,,1,1,1,,0,0
709,5718,,,"Assessment:PAL Test",pal,11,"PAL Test",148060,39,1,3975,,1,1
711,5711,,,Assessment:,pal,0,,,0,0,0,,0,0
713,5712,,,Assessment:,pal,0,,,43,0,3975,,0,0
715,5713,,,"Assessment:test 2026-06-24",pal,0,"test 2026-06-24",,43,0,3975,,0,0
717,5714,,,"Assessment:test 2026-06-24",pal,0,"test 2026-06-24",,43,0,3975,,0,0
721,5715,,,"Assessment:test 2026-06-24",pal,0,"test 2026-06-24",,43,0,3975,,0,0
723,5725,,,"Assessment:PAL Test",pal,11,"PAL Test","147332,147336,148060,147333,147335",39,1,3975,,5,5
725,5726,,,"Assessment:PAL Test",pal,11,"PAL Test","147336,147332,148060,147333,147335",39,1,3975,,5,5
731,5728,,,"Assessment:PAL Test",pal,11,"PAL Test","147335,148060,147332,147333,147336",39,1,3975,,5,5
733,5755,,,"Assessment:PAL Test",pal,11,"PAL Test",148060,39,1,3975,,1,1
735,5756,,,"Assessment:PAL Test",pal,11,"PAL Test",148060,39,1,3975,,1,1
737,5757,,,"Assessment:PAL Test",pal,11,"PAL Test",147329,39,1,3975,,1,1
739,5758,,,"Assessment:PAL Test",pal,11,"PAL Test",147329,39,1,3975,,1,1
741,5759,,,"Assessment:PAL Test",pal,11,"PAL Test",147329,39,1,3975,,1,1
743,5760,,,"Assessment:PAL Test",pal,11,"PAL Test",147329,39,1,3975,,1,1
745,5768,,,"Assessment:PAL Test",pal,11,"PAL Test","147333,147332,147336,147335,148060",39,1,3975,,5,5
747,5769,,,"Assessment:PAL Test",pal,11,"PAL Test","147335,148060,147336,147332,147333",39,1,3975,,5,5
749,5770,,,"Assessment:PAL Test",pal,11,"PAL Test","147335,147333,148060,147336,147332",39,1,3975,,5,5
751,5772,,,"Assessment:PAL Test",pal,562,"PAL Test","10092,10108,10099,10107,10106,10101,10098,10091,10095,10117",2229,195,3972,,10,10
753,5773,,,"Assessment:PAL Test",pal,11,"PAL Test",148060,39,1,3975,,1,1
374599,1077,,,Assessment:ss,online,12,ss,"67840,67841,67842,67847,67848,87465",42,1,4064,2021,6,6
374600,1081,,,Assessment:Civics,online,12,Civics,"87381,87382,87383,87384,87385,87388,87389",42,1,4064,2021,7,7
374601,1090,,,"Assessment:Civics perodic test",online,12,"Civics perodic test","67840,67841,67842,67843,67844,67845,87438,87439,87440,67833",42,1,4064,2021,10,10
374602,1148,,,Assessment:a,online,12,a,"67840,67841",42,1,4064,2021,2,2
374603,1305,,,"Assessment:Civics Sem-1",online,11,"Civics Sem-1","73803,73804,73805,73806,73807",39,1,4470,2021,5,5
374604,1339,,,Assessment:dsf,online,11,dsf,,,1,,2021,,
374605,1340,,,Assessment:dsf,online,11,dsf,,,1,,2021,,
374606,1341,,,Assessment:dsf,online,11,dsf,,,1,,2021,,
374607,1342,,,Assessment:dsf,online,11,dsf,,,1,,2021,,
374608,1343,,,Assessment:dsf,online,11,dsf,,,1,,2021,,
374609,1344,,,,online,,,,,1,,2021,,
374610,1388,,,"Assessment:exam name 1",online,11,"exam name 1","89192,97624,97625,97626,96820,96821",39,1,3975,2021,6,6
374611,1415,,,"Assessment:exam name 2",online,11,"exam name 2","97623,97625,97626,76123,76124",39,1,3975,2021,5,5
374612,1417,,,"Assessment:exam name 3",online,11,"exam name 3","97624,97626,76146,76222,76223,76224",39,1,3975,2021,6,6
374613,1597,,,Assessment:hiills,online,12,hiills,"67833,67834,67836,67837,67838,102821,102822,67835",42,1,4064,2021,8,8
374614,1680,,,"Assessment:11-July-2023 Chapter-2",online,11,"11-July-2023 Chapter-2","89301,89302,89303,89305,89307,89309,89311,89312,89313,89314,89315,89316,89317,89318,89319,89320,89321,89322,89323,89324",39,1,3975,2021,20,20
374615,1688,,,"Assessment:13-July Test by Rajesh",online,11,"13-July Test by Rajesh","72735,72736,72737,72738,72739",39,1,3976,2021,5,5
374616,2503,,,"Assessment:Sample Exam",online,11,"Sample Exam","89243,89244,89245,89247,89250,89252,89254",41,1,3975,2022,7,7
374617,2856,,,Assessment:Testing,online,577,Testing,,2269,1,4023,2021,,
374618,2858,,,"Assessment:Maths test-2",online,577,"Maths test-2","122943,122944,122945,122946,122947,122948",2269,1,4023,2021,6,6
374619,2940,,,Assessment:aa,online,11,aa,"89243,89244,89245,89246,89247",41,1,3975,2021,5,5
374620,3032,,,"Assessment:PAL Test",PAL,11,"PAL Test","97007,96988,96677,97002,96989,97012,97009,97009,97002,72757",39,1,3976,2021,10,10
374621,3033,,,"Assessment:PAL Test",PAL,11,"PAL Test","72769,72759,97009,96990,72752,97009,97006,96990,96997,97002",39,1,3976,2021,10,10
374622,3035,,,"Assessment:18-04-2024 to 19-04-2024",online,11,"18-04-2024 to 19-04-2024","72740,72741,72742,72743,72744",39,1,3976,2021,5,5
374623,3082,,,"Assessment:PAL Test",PAL,11,"PAL Test","98496,98492,98492,72862,98492,72873,72853,72850,98496,72857",39,1,3976,2021,10,10
374624,3083,,,"Assessment:PAL Test",PAL,11,"PAL Test","73151,98869,98857,73145,98874,98874,98850,98869,96805,98852",39,1,3976,2021,10,10
374625,3128,,,"Assessment:PAL Test",PAL,11,"PAL Test","72752,97009,97009,72756,72772,72756,97009,72752,97007,72757",39,1,3976,2021,10,10
374626,3129,,,"Assessment:PAL Test",PAL,11,"PAL Test","72757,72769,72769,96989,72756,72757,97006,97002,97006,72757",39,1,3976,2021,10,10
374627,3130,,,"Assessment:PAL Test",PAL,11,"PAL Test","72757,96997,97007,72759,96677,97012,72745,72772,96990,96990",39,1,3976,2021,10,10
374628,3131,,,"Assessment:PAL Test",PAL,11,"PAL Test","72772,72757,72772,97007,96990,72766,72769,72752,96990,96997",39,1,3976,2021,10,10
374629,3132,,,"Assessment:PAL Test",PAL,11,"PAL Test","97007,97002,97009,72769,72769,97006,72769,97007,96990,96988",39,1,3976,2021,10,10
374630,3133,,,"Assessment:PAL Test",PAL,11,"PAL Test","72766,72757,96997,96988,96677,96990,96988,97006,72769,72759",39,1,3976,2021,10,10
374631,3134,,,"Assessment:PAL Test",PAL,11,"PAL Test","98559,72928,72929,98582,98555,96725,72929,72929,96725,98559",39,1,3976,2021,10,10
374632,3135,,,"Assessment:PAL Test",PAL,11,"PAL Test","98582,72929,98582,98555,98582,72928,72928,98559,98555,98559",39,1,3976,2021,10,10
374633,3136,,,"Assessment:PAL Test",PAL,11,"PAL Test","96989,97002,96989,72757,72759,72745,97006,96997,97006,72757",39,1,3976,2021,10,10
374634,3137,,,"Assessment:PAL Test",PAL,11,"PAL Test","96989,97002,97002,72772,96989,72745,96988,72759,96997,72759",39,1,3976,2021,10,10
374635,3138,,,"Assessment:PAL Test",PAL,11,"PAL Test","72759,72745,72769,72772,72757,97002,96989,96989,96988,72769",39,1,3976,2021,10,10
374636,3139,,,"Assessment:PAL Test",PAL,11,"PAL Test","72759,72759,72752,97012,96989,72769,72745,96989,97012,72772",39,1,3976,2021,10,10
374637,3140,,,Assessment:qq,online,11,qq,"89287,89288,89289,89290",39,1,3975,2021,4,4
374638,3141,,,Assessment:vijay,offline,11,vijay,"97623,97624,97625,97626",39,1,3975,2021,4,4
374639,3142,,,Assessment:AA,online,11,AA,"97602,97603,97604,97605",39,1,3975,2021,4,4
374640,3143,,,Assessment:AA,online,11,AA,,39,1,3975,2021,,
374641,3144,,,Assessment:AA,online,11,AA,,40,1,3975,2021,,
374642,3145,,,Assessment:a,online,11,a,"89389,89390,89391",40,1,3975,2021,3,3
374643,3146,,,Assessment:aa,online,12,aa,"69079,69080,69081,69085",42,1,3975,2021,4,4
374644,3147,,,"Assessment:test notification 1 11-06-24",online,11,"test notification 1 11-06-24","96467,97110,97111,97112,97113,97114,97115,97116,97117,97118",39,1,3978,2021,10,10
374645,3148,,,Assessment:aa,online,11,aa,"89180,89181,89182,89184,89186",39,1,3975,2021,5,5
374646,3149,,,Assessment:Exam,online,11,Exam,,35,1,,2021,,
374647,3151,,,"Assessment:PAL Test",PAL,11,"PAL Test","96997,96988,72752,97007,97009,72772,72766,97012,96990,97006",39,1,3976,2021,10,10
374648,3157,,,"Assessment:PAL Test",PAL,11,"PAL Test","96988,96997,97006,72772,72752,97012,96988,96990,97009,72766",39,1,3976,2021,10,10
374649,3734,,,"Assessment:Math Ch-1 (Set- A) 2024-25",online,11,"Math Ch-1 (Set- A) 2024-25",,39,1,3976,2021,,
374650,3742,,,"Assessment:Math Ch-1 (Set- A) 2024-25",online,11,"Math Ch-1 (Set- A) 2024-25",,39,1,3976,2021,,
374651,3743,,,"Assessment:Math Ch-1 (Set- A) 2024-25",online,11,"Math Ch-1 (Set- A) 2024-25","73152,73153,73154,73155,73156,73157,73158,73159,73182",40,1,3976,2021,9,9
374652,3860,,,"Assessment:PAL Test",PAL,11,"PAL Test","96679,77355,96990,97004,77341,97014,77351,72753,72751,77353",39,1,3976,2021,10,10
374653,3881,,,"Assessment:PAL Test",PAL,11,"PAL Test","97615,97604,89174,97610,97603,76164,97583,89218,96836,89229",39,1,3975,2021,10,10
374654,3974,,,"Assessment:PAL Test",PAL,11,"PAL Test","89795,89791,89794,89759,76594,76599,76575,89787,96875,97784",39,1,3975,2021,10,10
374655,4097,,,Assessment:a,online,11,a,,39,1,3975,2022,,
374656,4102,,,Assessment:w,online,11,w,,39,1,3975,2021,,
374657,4103,,,Assessment:a,online,11,a,"89288,89289,89290,89291",39,1,3975,2021,4,4
374658,4135,,,Assessment:ss,online,11,ss,"89805,89807,89808,89809",40,1,3975,2021,4,4
374659,4189,,,"Assessment:PAL Test",PAL,11,"PAL Test","97599,97607,97625,97608,76153,89214,97626,96838,76165,97621",39,1,3975,2021,10,10
374660,4193,,,Assessment:a,online,12,a,"103211,103212,103214",42,1,4470,2021,3,3
374661,4194,,,Assessment:aa,offline,11,aa,,39,1,3975,2021,,
374662,4383,,,Assessment:sanskar,online,11,sanskar,"74690,74691,100541,100542",39,1,4469,2021,4,4
374663,4478,,,"Assessment:ANual exam",offline,11,"ANual exam","89287,89288,89289,89290",39,1,3975,2021,4,4
374664,4479,,,"Assessment:PAL Test",PAL,11,"PAL Test","89178,97601,76137,97615,89232,89224,89218,97598,89207,76146",39,1,3975,2021,10,10
374665,4480,,,"Assessment:PAL Test",PAL,11,"PAL Test","77082,90508,77088,98073,98088,77085,98091,98112,90517,77086",39,1,3975,2021,10,10
374666,4481,,,Assessment:Testing,online,11,Testing,"89174,89175,89176,89177,89178,89179",39,1,3975,2021,6,6
