_relInternalId,_fromInternalId,_fromLabels,_fromKeyProps,_toInternalId,_toLabels,_toKeyProps
978925,374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}",94596,Question,"{""sub_institute_id"":""1"",""question_title"":""People in Ladakh keep "",""qId"":""73803"",""question_type_id"":""1"",""chapter_id"":""5630"",""standard_id"":""39""}"
978926,374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}",94597,Question,"{""sub_institute_id"":""1"",""question_title"":""Respect and safeguard is the matter of "",""qId"":""73804"",""question_type_id"":""1"",""chapter_id"":""5630"",""standard_id"":""39""}"
978927,374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}",94598,Question,"{""sub_institute_id"":""1"",""question_title"":""Difference among the people on cultural basis is known as "",""qId"":""73805"",""question_type_id"":""1"",""chapter_id"":""5630"",""standard_id"":""39""}"
978928,374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}",94599,Question,"{""sub_institute_id"":""1"",""question_title"":""Which one of the given product is cultivated in Ladakh "",""qId"":""73806"",""question_type_id"":""1"",""chapter_id"":""5630"",""standard_id"":""39""}"
978929,374603,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""4470"",""paper_name"":""Civics Sem-1"",""grade_id"":""11"",""assId"":""1305""}",94600,Question,"{""sub_institute_id"":""1"",""question_title"":""The utensils used for frying cheenavala are called "",""qId"":""73807"",""question_type_id"":""1"",""chapter_id"":""5630"",""standard_id"":""39""}"
978930,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",102553,Question,"{""sub_institute_id"":""1"",""question_title"":""Fruits are:"",""qId"":""89192"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978931,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",108024,Question,"{""sub_institute_id"":""1"",""question_title"":""Milk, curd, paneer and ghee"",""qId"":""97624"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978932,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",108025,Question,"{""sub_institute_id"":""1"",""question_title"":""Read the following two statements carefully and choose the correct options. Carrot and radish are underground roots. Potato and ginger are underground roots."",""qId"":""97625"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978933,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",108026,Question,"{""sub_institute_id"":""1"",""question_title"":""Night blindness is caused due to deficiency of"",""qId"":""97626"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978934,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",107281,Question,"{""sub_institute_id"":""1"",""question_title"":""Which animal is an omnivore?"",""qId"":""96820"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978935,374610,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 1"",""grade_id"":""11"",""assId"":""1388""}",107282,Question,"{""sub_institute_id"":""1"",""question_title"":""Which student ate food from both plant and animal sources?"",""qId"":""96821"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978936,374611,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 2"",""grade_id"":""11"",""assId"":""1415""}",108023,Question,"{""sub_institute_id"":""1"",""question_title"":""Nectar is"",""qId"":""97623"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978937,374611,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 2"",""grade_id"":""11"",""assId"":""1415""}",108025,Question,"{""sub_institute_id"":""1"",""question_title"":""Read the following two statements carefully and choose the correct options. Carrot and radish are underground roots. Potato and ginger are underground roots."",""qId"":""97625"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
978938,374611,Assessment,"{""sub_institute_id"":""1"",""standard_id"":""39"",""subject_id"":""3975"",""paper_name"":""exam name 2"",""grade_id"":""11"",""assId"":""1415""}",108026,Question,"{""sub_institute_id"":""1"",""question_title"":""Night blindness is caused due to deficiency of"",""qId"":""97626"",""question_type_id"":""1"",""chapter_id"":""26"",""standard_id"":""39""}"
